train loss
['train loss: 0.07038120216974139']
['train loss: 0.06623022974214067']
['train loss: 0.06489266497471786']
['train loss: 0.0641926429302554']
['train loss: 0.06384965292700462']
['train loss: 0.0636520401709565']
['train loss: 0.06343641280304162']
['train loss: 0.06299162606430107']
['train loss: 0.06268695583652384']
['train loss: 0.06238846613773711']
['train loss: 0.06217220547560743']
['train loss: 0.06201762210693351']
['train loss: 0.06178517829402902']
['train loss: 0.06150091057194161']
['train loss: 0.06118668294269031']
['train loss: 0.06089609116716248']
['train loss: 0.06065027071235993']
['train loss: 0.060449521645688176']
['train loss: 0.06027787055164887']
