train loss
['train loss: 0.07309247708244167']
['train loss: 0.06789091212248104']
['train loss: 0.06554581610482019']
['train loss: 0.06429607552678718']
['train loss: 0.06402997222215184']
['train loss: 0.06395684099429816']
['train loss: 0.06338462682554863']
['train loss: 0.06315531815618207']
['train loss: 0.06320648451694463']
['train loss: 0.06285109815321709']
['train loss: 0.062337138511552585']
['train loss: 0.0620690399842641']
['train loss: 0.061884521589971445']
['train loss: 0.0616800793038461']
['train loss: 0.06156894472412965']
['train loss: 0.06144227243571046']
['train loss: 0.06135853905407401']
['train loss: 0.06116592415053887']
['train loss: 0.06086693518267062']
['train loss: 0.060605052950890186']
['train loss: 0.06049624766818464']
['train loss: 0.06043052021402183']
['train loss: 0.06043341281474229']
['train loss: 0.060476268679781134']
['train loss: 0.06012877581125144']
['train loss: 0.060057314353617164']
['train loss: 0.05993659696423895']
['train loss: 0.05975549996628227']
['train loss: 0.05946724003226853']
