train loss
['train loss: 0.07491969055614164']
['train loss: 0.07184680013889595']
['train loss: 0.07081690453000077']
['train loss: 0.06958655303053235']
['train loss: 0.06797583914166644']
['train loss: 0.06652129124613937']
['train loss: 0.0655306987293869']
['train loss: 0.06486703215971223']
['train loss: 0.06445403987791189']
['train loss: 0.064079695991794']
['train loss: 0.06371823014664348']
['train loss: 0.06373947826338615']
['train loss: 0.06444385314439605']
['train loss: 0.06410798661282988']
['train loss: 0.0632283393663244']
['train loss: 0.06310398835371919']
['train loss: 0.06299864728285588']
['train loss: 0.06294710688198818']
['train loss: 0.06289513260674172']
['train loss: 0.06293352548004691']
['train loss: 0.0629300239106764']
['train loss: 0.06277121129686238']
['train loss: 0.06251217271056447']
['train loss: 0.062429065325456876']
['train loss: 0.062273496203653494']
['train loss: 0.06220250902535471']
['train loss: 0.062128799675052276']
['train loss: 0.06213582386443076']
['train loss: 0.062122887996518376']
['train loss: 0.06215491484129346']
['train loss: 0.06202166235103128']
['train loss: 0.06192436578382614']
['train loss: 0.06185412116186128']
['train loss: 0.06175844559357747']
['train loss: 0.0617142923984849']
